Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0000785	2	4	5	11
OG0000786	11	0	0	11
OG0000787	2	5	4	11
OG0000788	2	6	3	11
OG0000789	3	4	4	11
OG0000790	5	3	3	11
OG0000791	1	6	4	11
OG0000792	11	0	0	11
OG0000793	2	5	4	11
OG0000794	1	7	3	11
OG0000795	9	1	1	11
OG0000796	1	6	4	11
OG0000797	4	4	3	11
OG0000798	1	4	6	11
OG0000799	3	4	4	11
OG0000800	4	3	4	11
OG0000801	1	2	8	11
OG0000802	2	4	5	11
OG0000803	3	4	4	11
OG0000804	11	0	0	11
OG0000805	3	4	4	11
OG0000806	6	2	3	11
OG0000807	1	5	5	11
OG0000808	6	3	2	11
OG0000809	2	4	5	11
OG0000810	5	3	3	11
OG0000811	6	4	1	11
OG0000812	2	5	4	11
OG0000813	2	4	5	11
OG0000814	4	3	4	11
OG0000815	9	1	1	11
OG0000816	11	0	0	11
OG0000817	1	6	4	11
OG0000818	2	5	4	11
OG0000819	3	4	4	11
OG0000820	3	4	4	11
OG0000821	6	2	3	11
OG0000822	11	0	0	11
OG0000823	11	0	0	11
OG0000824	11	0	0	11
OG0000825	9	1	1	11
OG0000826	11	0	0	11
OG0000827	2	5	4	11
OG0000828	11	0	0	11
OG0000829	2	7	2	11
OG0000830	11	0	0	11
OG0000831	11	0	0	11
OG0000832	3	4	4	11
OG0000833	11	0	0	11
OG0000834	3	4	4	11
OG0000835	2	5	4	11
OG0000836	6	3	2	11
OG0000837	5	3	3	11
OG0000838	1	5	5	11
OG0000839	2	5	4	11
OG0000840	3	4	4	11
OG0000841	2	7	2	11
OG0000842	11	0	0	11
OG0000843	9	1	1	11
OG0000844	7	2	2	11
OG0000845	5	3	3	11
OG0000846	11	0	0	11
OG0000847	2	5	4	11
OG0000848	1	6	4	11
OG0000849	1	4	6	11
OG0000850	1	8	2	11
OG0000851	1	3	7	11
OG0000852	3	4	4	11
OG0000853	2	4	5	11
OG0000854	1	5	5	11
OG0000855	9	2	0	11
OG0000856	3	4	4	11
